Date,Day,Holiday,Type
1 jan,zaterdag,New Year's Day,National holiday
6 jan,donderdag,Epiphany,Observance
14 feb,maandag,Valentine's Day,Observance
20 mrt,zondag,March Equinox,Season
27 mrt,zondag,Daylight Saving Time starts,Clock change/Daylight Saving Time
15 apr,vrijdag,Good Friday,Bank holiday
17 apr,zondag,Easter Sunday,National holiday
18 apr,maandag,Easter Monday,National holiday
1 mei,zondag,Labor Day / May Day,National holiday
8 mei,zondag,Mother's Day,Observance
8 mei,zondag,Iris Day,Regional government holiday
26 mei,donderdag,Ascension Day,National holiday
27 mei,vrijdag,Day after Ascension Day,Bank holiday
5 jun,zondag,Whit Sunday,National holiday
6 jun,maandag,Whit Monday,National holiday
12 jun,zondag,Father's Day,Observance
21 jun,dinsdag,June Solstice,Season
11 jul,maandag,Day of the Flemish Community,Regional government holiday
21 jul,donderdag,Belgian National Day,National holiday
15 aug,maandag,Assumption of Mary,National holiday
18 sep,zondag,Day of the Walloon Region,Regional government holiday
23 sep,vrijdag,September Equinox,Season
27 sep,dinsdag,Day of the French Community,Regional government holiday
30 okt,zondag,Daylight Saving Time ends,Clock change/Daylight Saving Time
31 okt,maandag,Halloween,Observance
1 nov,dinsdag,All Saints' Day,National holiday
11 nov,vrijdag,Armistice Day,National holiday
15 nov,dinsdag,Day of the German-speaking Community,Regional government holiday
6 dec,dinsdag,St. Nicholas Day,Observance
21 dec,woensdag,December Solstice,Season
24 dec,zaterdag,Christmas Eve,Observance
25 dec,zondag,Christmas Day,National holiday
26 dec,maandag,Boxing Day,Bank holiday
31 dec,zaterdag,New Year's Eve,Observance
