Month,LC_RAININ,LC_DAILYRAIN,LC_WINDDIR,LC_WINDSPEED,LC_TEMP_QCL3,DATECEST
1,0.00011238522675856143,0.0010341246155182106,-16.307699690586425,0.339932221516355,4.733596221313108,2022-01-17 15:54:43.257389312
2,0.00013093466553287981,0.0012634586572724327,-25.317652656300616,0.7415102901279559,6.929743163314879,2022-02-14 23:54:59.999999744
3,9.838343939726429e-06,0.00010360663082437277,12.215986394557824,0.2507478192890059,8.108502795775403,2022-03-16 11:55:00.000000000
4,5.426537744141672e-05,0.0005041292369701777,3.6318461505477777,0.3693611688785027,10.690817877002745,2022-04-16 00:01:00.124777728
5,7.557787402097437e-05,0.0006527093289526084,-9.013140100225673,0.2406049631620868,15.568972772146077,2022-05-16 11:55:00.000000000
6,0.00018422925240054868,0.002184940843621399,-6.4845207475994515,0.19789589763374485,18.163584458830332,2022-06-15 23:55:00.000000000
7,0.00021996341099163682,0.00035275205761316875,-9.87352731315545,0.2070955918956591,19.832865359991597,2022-07-16 11:55:00.000000000
8,2.801008894198858e-05,0.00035726760586751624,0.21430082636399841,0.16884551722421345,21.513029779474945,2022-08-16 11:55:00.000000000
9,0.0002109246399176955,0.00232894804526749,-6.099729938271605,0.1719411865569273,15.253979813043037,2022-09-15 23:55:00.000000000
10,7.343936678614098e-05,0.0010670777744590468,-3.081609667463162,0.19432791550511086,14.093855858236294,2022-10-16 11:55:00.000000000
11,0.0001721536351165981,0.0022724879972565158,-3.4425475823045266,0.3371610939643347,9.190664957694013,2022-11-15 23:55:00.000000000
12,0.00018499643236426393,0.0036314113732908537,-6.3656204367449885,0.3349571261449622,4.31098392650165,2022-12-16 11:55:00.000000000
